Participant,From,To,Duration,File,Function,Scenario,Something related to traffic,RPM,Speed,Brake,STD of interval time,eyes off the road (yes/no),Notes,Phone dimmed
P18,3143.55,3144.5,0.9499999999998181,,others,expressway,,,,,,yes,"looking at the phone, an error on stw",yes
P18,3146.0,3146.0,0.0,,forward/backward,expressway,about to takeover,,,,,no,,yes
P18,3210.7,3211.5,0.8000000000001819,,forward/backward,expressway,deviated from the lane to right,,,,,yes,unsuccessful gesture,yes
P18,3216.65,3216.85,0.1999999999998181,,Vol-up/down,expressway,,,,,,yes,two swipe down,yes
P18,3221.0,3221.0,0.0,,Vol-up/down,expressway,,,,,,no,one swipe up,yes
P18,3339.0,3339.0,0.0,,pause/play,urban,while pulling away,,,,,no,,yes
P18,3403.0,3403.0,0.0,,pause/play,urban,,,,,,no,,yes
P18,3413.0,3413.0,0.0,,pause/play,urban,while turning,,,,,no,went over the sidewalk and an error occured on stw sensors.,yes
P18,3422.0,3422.5,0.5,,others,urban,close to a turn,,,,,yes,looking at the phone to figure our what happened--seeking status of player,yes
P18,3424.45,3426.55,2.100000000000364,,forward/backward,urban,"close to a turn, braking to stop a car",,,,,yes,"unsuccessful gesture, delayed to move because of error occured on stw",yes
P18,3432.0,3432.0,0.0,,forward/backward,urban,at the intersection,,,,,no,unsuccessful gesture,yes
P18,3435.2,3435.7,0.5,,forward/backward,urban,at the intersection,,,,,yes,unsuccessful gesture,yes
P18,3440.85,3441.85,1.0,,forward/backward,urban,close to a turn,,,,,yes,unsuccessful gesture,yes
P18,3506.0,3506.0,0.0,,pause/play,urban,while turning,,,,,no,,yes
P18,3514.05,3516.5,2.449999999999818,,others,urban,close to a turn about to turn,,,,,yes,"looking at the phone, an error on stw",yes
P18,3524.25,3524.75,0.5,,Vol-up/down,urban,close to a turn,,,,,yes,two swipe up,yes
P18,3532.0,3532.0,0.0,,Vol-up/down,urban,right before making turn,,,,,no,one swipe up,yes
P18,3544.0,3544.0,0.0,,Vol-up/down,urban,,,,,,no,one swipe up,yes
P18,3631.0,3632.7,1.699999999999818,,pause/play,urban,close to a turn about to turn,,,,,yes,looking at the phone for feedback after interaction,yes
P18,3639.4,3640.45,1.0499999999997272,,pause/play,urban,,,,,,yes,looking at the phone for feedback after interaction,yes
P18,3656.5,3657.1,0.599999999999909,,forward/backward,urban,close to a turn,,,,,yes,looking at the phone for feedback before interaction-unsuccessful interaction,yes
P18,3709.0,3709.0,0.0,,Vol-up/down,urban,,,,,,no,"song was paused by accident, two swipe up",yes
P18,3721.8,3721.8,0.0,,others,urban,,,,,,no,went over the sidewalk after a turn,yes
P18,3732.0,3732.0,0.0,,pause/play,urban,,,,,,no,,yes
P18,3756.8,3757.8,1.0,,others,urban,,,,,,yes,looking at the phone before interaction with seatbelt,yes
P18,3758.0,3758.0,0.0,,Vol-up/down,urban,,,,,,no,one swipe up,yes
P18,3800.0,3800.0,0.0,,forward/backward,urban,close to a turn,,,,,no,,yes
